id,group,aritfact
1,org.apache.dubbo,dubbo-dependencies-bom
2,org.junit.jupiter,junit-jupiter-engine
4,org.junit.jupiter,junit-jupiter-api
8,org.junit.jupiter,junit-jupiter-params
16,org.awaitility,awaitility
32,org.hamcrest,hamcrest
64,org.mockito,mockito-core
128,org.mockito,mockito-inline
256,cglib,cglib-nodep
512,com.puppycrawl.tools,checkstyle
1024,org.apache.dubbo,dubbo-build-tools
2048,org.springframework.boot,spring-boot-dependencies
4096,org.junit.vintage,junit-vintage-engine
8192,net.bytebuddy,byte-buddy
16384,net.bytebuddy,byte-buddy-agent
32768,org.apache.dubbo,dubbo-test-check
65536,org.springframework.boot,spring-boot-autoconfigure
131072,org.springframework.boot,spring-boot
262144,org.springframework.boot,spring-boot-starter-logging
524288,org.springframework.boot,spring-boot-configuration-processor
1048576,org.apache.dubbo,dubbo-common
2097152,org.apache.dubbo,dubbo-config-spring
4194304,org.apache.dubbo,dubbo
8388608,org.springframework.boot,spring-boot-starter-test
16777216,org.springframework.boot,spring-boot-starter-web
33554432,org.apache.tomcat.embed,tomcat-embed-core
67108864,org.springframework.boot,spring-boot-starter-actuator
134217728,org.apache.dubbo,dubbo-spring-boot-autoconfigure-compatible
268435456,org.apache.dubbo,dubbo-rpc-dubbo
536870912,org.apache.zookeeper,parent
1073741824,org.apache.curator,curator-x-discovery
2147483648,org.apache.zookeeper,zookeeper
4294967296,com.github.spotbugs,spotbugs-annotations
8589934592,commons-cli,commons-cli
17179869184,org.eclipse.jetty,jetty-server
34359738368,org.eclipse.jetty,jetty-servlet
68719476736,org.eclipse.jetty,jetty-client
137438953472,jline,jline
274877906944,io.dropwizard.metrics,metrics-core
549755813888,org.xerial.snappy,snappy-java
1099511627776,com.alibaba.nacos,nacos-client
2199023255552,io.micrometer,micrometer-bom
4398046511104,io.micrometer,micrometer-tracing-bom
8796093022208,io.opentelemetry,opentelemetry-bom
17592186044416,io.zipkin.reporter2,zipkin-reporter-bom
35184372088832,io.prometheus,simpleclient_bom
