id,group,aritfact
0,org.springframework.boot,spring-boot-dependencies
1,commons-dbcp,commons-dbcp
2,net.sourceforge.htmlunit,htmlunit
3,com.google.code.gson,gson
4,com.google.inject,guice
5,com.github.stefanbirkner,system-lambda
6,org.slf4j,slf4j-api
7,ch.qos.logback,logback-classic
8,ch.qos.logback,logback-core
9,org.projectlombok,lombok
10,org.junit.jupiter,junit-jupiter-engine
11,org.mockito,mockito-core
12,org.junit.jupiter,junit-jupiter-api
13,junit,junit
14,org.springframework,spring-webmvc
15,org.springframework.boot,spring-boot-starter-web
16,org.junit.jupiter,junit-jupiter-params
17,org.junit.jupiter,junit-jupiter-migrationsupport
18,de.flapdoodle.embed,de.flapdoodle.embed.mongo
19,org.mongodb,bson
20,org.mongodb,mongodb-driver-legacy
21,org.springframework,spring-context
22,org.springframework.boot,spring-boot-starter-thymeleaf
23,org.springframework,spring-test
24,com.h2database,h2
25,org.joda,joda-money
26,org.springframework.boot,spring-boot-starter
27,org.springframework.boot,spring-boot-starter-data-jpa
28,org.springframework.boot,spring-boot-starter-test
29,org.mockito,mockito-inline
30,org.hibernate,hibernate-core
31,org.glassfish.jaxb,jaxb-runtime
32,javax.xml.bind,jaxb-api
33,org.springframework.data,spring-data-jpa
34,javax.annotation,javax.annotation-api
35,com.iluwatar,model-view-controller
36,org.hamcrest,hamcrest-core
37,net.java.dev.swing-layout,swing-layout
38,jakarta.servlet,jakarta.servlet-api
39,org.apache.commons,commons-lang3
40,com.fasterxml.jackson.core,jackson-databind
41,org.mockito,mockito-junit-jupiter
42,org.zkoss.zk,zkbind
43,org.springframework.boot,spring-boot-starter-actuator
44,org.springframework.boot,spring-boot-starter-aop
45,cn.hutool,hutool-all
46,org.springframework.boot,spring-boot-configuration-processor
47,com.macro.mall,mall-common
48,com.macro.mall,mall-mbg
49,com.macro.mall,mall-security
50,com.github.pagehelper,pagehelper-spring-boot-starter
51,com.github.pagehelper,pagehelper
52,com.alibaba,druid-spring-boot-starter
53,io.springfox,springfox-boot-starter
54,io.swagger,swagger-models
55,io.swagger,swagger-annotations
56,org.mybatis.generator,mybatis-generator-core
57,org.mybatis,mybatis
58,mysql,mysql-connector-java
59,org.springframework.data,spring-data-commons
60,io.jsonwebtoken,jjwt
61,com.aliyun.oss,aliyun-sdk-oss
62,net.logstash.logback,logstash-logback-encoder
63,io.minio,minio
64,org.springframework.boot,spring-boot-starter-data-elasticsearch
65,org.springframework.boot,spring-boot-starter-data-redis
66,org.springframework.boot,spring-boot-starter-validation
67,org.springframework.boot,spring-boot-starter-security
68,org.springframework.boot,spring-boot-starter-data-mongodb
69,org.springframework.boot,spring-boot-starter-amqp
70,com.alipay.sdk,alipay-sdk-java
71,org.springframework.boot,spring-boot
72,org.springframework,spring-core
73,org.apache.logging.log4j,log4j-api
74,org.bouncycastle,bcprov-jdk18on
75,org.springframework.boot.maven.it,jar-snapshot
76,org.springframework.boot.maven.it,jar-release
77,javax.servlet,servlet-api
78,org.springframework.boot.maven.it,acme-lib
79,org.springframework.boot.maven.it.another,acme-lib
80,org.springframework.boot.maven.it,build-image-multi-module-library
81,org.springframework.boot,spring-boot-test
82,org.assertj,assertj-core
83,org.junit.jupiter,junit-jupiter
84,com.example,sample
85,org.jetbrains.kotlin,kotlin-stdlib-jdk8
86,org.jetbrains.kotlin,kotlin-reflect
87,org.jetbrains.kotlin,kotlin-compiler
88,org.springframework.boot.maven.it,layout
89,org.springframework.boot,spring-boot-loader-tools
90,org.springframework.boot.maven.it,jar
91,org.springframework.boot.maven.it,jar-classifier
92,org.junit,junit-bom
93,org.apache.commons,commons-collections4
94,org.slf4j,jcl-over-slf4j
95,org.junit.vintage,junit-vintage-engine
96,org.hamcrest,hamcrest
97,org.hamcrest,hamcrest-all
98,org.apache.maven.surefire,surefire-logger-api
99,org.baeldung.pmd,custom-pmd
100,org.jetbrains,annotations
101,org.apache.kafka,kafka-clients
102,org.apache.kafka,kafka-streams
103,org.slf4j,slf4j-log4j12
104,org.apache.flink,flink-connector-kafka
105,org.apache.flink,flink-streaming-java
106,org.apache.flink,flink-core
107,org.apache.flink,flink-java
108,org.apache.flink,flink-test-utils
109,com.google.guava,guava
110,org.awaitility,awaitility
111,org.awaitility,awaitility-proxy
112,com.fasterxml.jackson.datatype,jackson-datatype-jsr310
113,org.testcontainers,kafka
114,org.testcontainers,junit-jupiter
115,org.apache.spark,spark-core_2.11
