user,repo,type,orcount
YuliyanIvanov,Java-Basic-23.git,unknown,0x0
Veomett,project-assignment-3-iroadtrip-bzhu10.git,unknown,0x0
sr-pmoe,---.git,pom.xml,0x3
uni-cstar,okEffect.git,build.gradle,0x0
festivmacadamia,End_Game_Plus_1.20.1.git,build.gradle,0x0
chaerin123,board_project.git,unknown,0x0
jessicanguyen09,cs1302-api-app.git,pom.xml,0x3c
CSCI-360-2023,air-squatters.git,pom.xml,0x7ffc0
LLGerardo,Club-Maven.git,unknown,0x0
KhonDuong,Dictionary.git,pom.xml,0x380000
vinodborse,Larkspur_23_fullstack.git,pom.xml,0xc02c00000
Nostalgicname,advent-puzzles-attempts.git,unknown,0x0
wineaj,csc229hw.git,unknown,0x0
MyungHyun-Ahn,JavaNIOProject.git,unknown,0x0
mstavens,Word-by-word-translator.git,unknown,0x0
Raje-0,SpringBoot-Tutorial.git,pom.xml,0x801060200
jeongmu1,pop-up-coffee.git,build.gradle,0x0
RaulMCFidelis,Projetos-Java-Full-Stack.git,unknown,0x0
dapdelivery,where-for-dinner-06-12-2023-20-59-53-921147347.git,pom.xml,0x3ff3ffffe070080
soda4fries,FOP_Tutor_Demo.git,pom.xml,0x0
rahulyadav2003,Alpha-Practice.git,unknown,0x0
kkongdo,Algorithm.git,unknown,0x0
Veomett,project-assignment-3-iroadtrip-adedralin.git,unknown,0x0
tuannaph23861,BinhGiuNhietG3.git,pom.xml,0x3fc00000000000
tbcarus,spending-sb.git,pom.xml,0x1fffc0001002070200
cold2222,semierp.git,pom.xml,0x30200000000e00000000000000000
yorch-el-profe,santader-java-backend-20232.git,build.gradle,0x0
zoya-aalia,lab10.git,unknown,0x0
luca-ham,library-project.git,build.gradle,0x0
Naramotik,food-microservices.git,pom.xml,0x203e800000063ff080000003000060200
raphy0316,BillDiscriminator.git,build.gradle,0x0
hoangquan1311,Dictionary.git,pom.xml,0x1c0000000000000000000c
axlg98,tp.final.terminal.portuaria.git,unknown,0x0
jaxcksn,CS2363-FinalProject.git,unknown,0x0
barneyb,aoc-2023.git,pom.xml,0x2000000000000000000000
AncientBison,Avian-Ammo.git,unknown,0x0
chengks99,RFID_tracking.git,build.gradle,0x0
yzhou216,road-trip.git,pom.xml,0x4000000000000002000000
CKAY-9,nu-factions.git,pom.xml,0x8000000000000000000000
Eimee8,INVENTARIO_PuebloViejo.git,build.gradle,0x0
ericguan04,High-School-Robotics-Team-Portfolio.git,unknown,0x0
Marco5424350,Proyecto-Integrador-SE.git,unknown,0x0
lifedotbak,open.git,pom.xml,0x20000000000000000000000000000000003fffffffffffff2000000040000800060220
kimdozzi,algorithm-study.git,unknown,0x0
Veomett,project-assignment-3-iroadtrip-Ahuynh111.git,unknown,0x0
s23022,javaPart2.git,unknown,0x0
aamanuel1,restaurant-reservation.git,pom.xml,0x4000100000000000000000000000000000003fc0000000000000c000000000001800060200
liemnt2004,PetShop.git,pom.xml,0x7c0000000000000000001800000000000000000
thaitricuong,kien-truc-phan-mem.git,pom.xml,0x3e600000000000000000000000000000000000000000000f800000000000000000000000000000000000000
rudgh4493,JavaApplications.git,unknown,0x0
lerlerchan,Java_2022C.git,unknown,0x0
