user,repo,simTL,maxSC
Paul-Astudillo,registro_curso_ms_docker.git,[],0.0
GavraMG,JavaPingPongGame.git,[],0.0
open-learning-exchange,myplanet.git,[],0.2660794
AlfonsoG-dev,java-mysql-eje.git,[2594],0.911077
AndyyyPhan,ChessOpeningTrainer.git,[],0.0
dhrsingh2,airline-ticketing-system.git,[],0.72258043
banq,jivejdon.git,[],0.5674188
Kamechan516,Java-learning_Kouki.git,[],0.0
DivyaJyot,LLD_Java.git,[],0.38379923
CCA-APCS-A-Remington-F23-P1,final-project-apcsa-team-1.git,[],0.4051617
arsenpulido,Planit-TCs.git,[],0.0
Group-Lynx,noisy.git,[],0.0
tuihoclaptrinh,topictalks_backend_v1.1.git,[],0.5454172
kimtaesoo99,LeetCode.git,[],0.0
connectbot,sshlib.git,[],0.66379184
tyreesamurai,Interactive-Cookbook.git,[],0.27027497
Igorpereirag,microservices-events.git,[],0.0
aaaa0ggMC,OriginWorld.git,[],0.44499382
KumarRishabh22,LeetcodeProb.git,[],0.67752475
Ustroytelling,us-server.git,[2420],1.0
Woohahalife,covid19StandMVC.git,[],0.0
MustafaHaddara,advent-of-code-2023.git,[],0.0
away0419,Study-2023.git,[],0.0
StateControlled,AbandonedUnderground.git,[],0.52619857
SeoYeonBae,algorithmStudy.git,[],0.0
openl-tablets,openl-tablets.git,[],0.0
JohnGaughan,advent-of-code-java.git,[],0.44826618
RadiumMarshmallows,Hbm-s-Nuclear-Tech-Radium.git,[],0.51767296
rayworks,algorithms.git,[],0.45117745
minner2,code-generate.git,[],0.0
thu-hoai,daily-coding-practicing.git,[],0.41347608
sakura-ryoko,afkplus.git,[],0.63393587
sherman,cluster-lib.git,[],0.37984857
yrdsb-peths,hungry-animal-rynchng.git,[],0.4051617
yrdsb-peths,hungry-animal-DylanDinesh.git,[],0.4051617
Lusigmes,seuposto.git,[],0.7801775
jakergp,HungerGames.git,[],0.0
burndawitch,Ergasia-Osmes-v3.git,[],0.0
VicenteM23,CleanCode1Ev_Vicente.git,[],0.0
Jiohinnin,grade-submission.git,[],0.3935555
Sashan-gg,PP_1_1_3-4_Hibernate.git,[],0.5958645
MRoblesR,Parallel-Algorithm-Runner.git,[],0.26271716
bcgov,EDUC-GRAD-STUDENT-API.git,[],0.58059293
nirajlande,SPE-Backend.git,[],0.0
orat,GeometricAlgebra.git,[],0.7186388
mifisto75,java-filmorate.git,[],0.41899794
amu73,Data-Structure-using-Java.git,[],0.42978513
SibaPrasad2221,CovidVaccination.git,[],0.4093548
GustavGroenborg,java_aoc-2023.git,[],0.5015208
Alaricdragon,Crew_Replacer.git,[],0.0
FragmentMC,EntropyFactionsIntegration.git,[],0.48769766
Aswin-H,Dictionary.git,[],0.0
Genivaldo2230,EcomerceCofeeStore.git,[],0.0
iasmina14,laboratorjava.git,[],0.6362682
AbhinayPatil,java-concepts.git,"[482, 745, 1924, 2184, 2285]",1.0
Indrance,AOC_Indrance.git,[],0.2692925
ShashankEd,reduxtoolkitdemo.git,[],0.33717182
DANS-KNAW,dd-dans-sword2-examples.git,[],0.35612127
i-moonlight,Kanban_Board.git,[],0.7253332
SoftwareHackerNick,Translator.git,[],0.42581746
GoogleCloudPlatform,bigquery-dlp-remote-function.git,[],0.4173828
FreitascGabriel,Grupo-7---Turma-A.git,[],0.31719133
teaoudom,Javatutorial.git,[],0.47897065
Harishk54,cn.git,[],0.0
nitin2903,nic-pass.git,[876],0.8707178
j-arandia,test.git,[],0.42767176
jeanmmlima,PPGTI1004-imd.git,[],0.6517903
EricRaw512,AppointmentPlanner.git,[],0.36398482
Suraj1719,LeetCodeProblem.git,[],0.28300834
Sumitsonikaju,MiniProjects.git,[],0.6517903
DJG-inc,DJGBank_Backend.git,"[40, 225, 284, 531]",1.0
muhamadaguss,belajar_restful_api_spring_boot.git,"[611, 748, 798, 943, 2029, 2081, 920]",1.0
OkelloA,Java-Stream-API-Demonstration.git,[],0.0
weijiany,core-algorithm.git,[],0.3613658
Fern4nd0-RC,ASDR_Java_SQL.git,[],0.0
Aezikel,UniEval.git,[],0.77123874
xiaoeeyu,lesson7sec.git,[],0.570726
limzy7,nick2.git,[],0.61569047
Jujuad,RecuperaAqui_GlobalSolution.git,[],0.56632096
jaqconsultor,facturaformalibreseniat.git,[],0.0
www6v,jExamples.git,[],0.4677726
rahuljoshi73,demo.git,[],0.5770623
HansArtLettering,tugas9.git,[],0.0
Isabelam21,BortoneEspinoza_SO2.git,[],0.0
Migue-Alvarez,MomentoValorativo.git,[],0.0
AlexisRC4512,client.git,[],0.4988943
bydonjr,store-billing.git,[],0.0
Firdouscop,Learning.git,[],0.50093764
sadohu,C6-Pruebas-Software-Tema2-Sesion1.git,[],0.0
AntonioSilva1507,Atividade-Leo-3.13-e-3.14.git,[],0.37066045
BiGSerial,yahtzeegame.git,[],0.62167346
hendisantika,springboot-cookies-sample.git,[],0.0
insta-clone-hh99,back.git,[],0.0
